"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Dargham M.; Hachimi H.; Boutalline M.","Dargham, Malak (57224478120); Hachimi, Hanaa (54911738900); Boutalline, Mohammed (55862014200)","57224478120; 54911738900; 55862014200","How AI is automating writing: The rise of robot writers","2022","8th International Conference on Optimization and Applications, ICOA 2022 - Proceedings","","","","","","5","10.1109/ICOA55659.2022.9934723","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143908772&doi=10.1109%2FICOA55659.2022.9934723&partnerID=40&md5=949a95394fe8503d7660a507581b9c24","The rise of robot writers could have a major impact on marketing and communication. AI is capable of writing marketing content, thanks to the advances in natural language generation (NLG). The software not only mimics human speech, but it can also use data and language to narrate events in real time. © 2022 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85143908772"
"Nesterenko V.","Nesterenko, Volodymyr (58497881900)","58497881900","MARKETING COMMUNICATIONS: ONGOING TRENDS AND OPTIONS","2021","Virtual Economics","4","4","","21","32","6","10.34021/VE.2021.04.04(2)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165347562&doi=10.34021%2FVE.2021.04.04%282%29&partnerID=40&md5=a174287099dd043dd7c9ff2de81598bb","This article studies trends in the development of marketing communications as a result of business space transformation and the emergence of new values that are the main determinants of social development in the modern world. This article highlights the main preferences and expectations of users of different promotion channels, which provide the basis for predicting their further use and development. It studies the impact of advertising and promotion channels on the purchase by younger and older generation. Various channels of marketing communications are considered, including the most effective digital marketing methods according to marketers around the world. There are analysed data users such as companies that intensively create, operate, collect and analyse digital data and use what they learn to improve their business. Special attention is paid to the use of such a powerful and promising communications tool as AI, which can significantly affect the quality and speed of service. Commercial content on social media has become the new normal, and users are actively exploring it. It is analysed how niche influencers will play a leading role in promoting commercial content on social media. There is described a way to achieve advanced digital technologies that allows marketers to reach the maximum share of the target audience and establish effective channels of communication with consumers, immersing deeper directly into the sales process. © Author(s) 2021.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85165347562"
"Kesarwani J.; Rai H.; Kesarwani R.","Kesarwani, Jyoti (58769583600); Rai, Himanshu (58769583700); Kesarwani, Rahul (60147083400)","58769583600; 58769583700; 60147083400","A Neuromarketing Framework for Data-Driven Intelligent Automation in Marketing","2025","Handbook of Intelligent Automation Systems Using Computer Vision and Artificial Intelligence","","","","449","469","1","10.1002/9781394302734.ch20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019165503&doi=10.1002%2F9781394302734.ch20&partnerID=40&md5=b8675032ea8eac44f80ed0ec53a6a4c6","Marketing has now shifted to a data-driven science using intelligent automation, but in order to enhance the deployment of artificial intelligence and machine learning, it is crucial to comprehend the psychological processes behind consumer behavior and response. Neuromarketing seeks to deliver these behavioral notifications by employing neuroscience and biometrics to appreciate subliminal and emotional responses toward marketing appeals. This paper proposes a vast approach to integrating neuromarketing methods into intelligent marketing automation systems to improve their performance. The framework involves constructing a neuromarketing testing chamber outfitted with physiological measurement devices, imaging equipment, and emulation rigs to capture multiple NeuroMex signals from consumers in response to the varied scenarios. These neuroscientific signals such as functional MRI, EEG recording, GSR, and eye tracker metrics are then input to an analytical loop that uses a set of AI interfaces to convert the neurodata and analyze it using techniques such as neural networks to arrive at sophisticated psychological models of the consumer out of them. These neuromarketing models can then be integrated within the framework of intelligent automation systems for marketing uses such as dynamic content generation, deep-affinity and affective appeals, real-time biometric feedback for campaign adjustments, and far more persuasive recommendation systems that would target the customer’s subconscious needs. © 2025 Scrivener Publishing LLC. All rights reserved.","Book chapter","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105019165503"
"Izani M.; Assad A.; Kaleel A.; Wong L.; Abdulla D.; Hamdan A.","Izani, M. (57223811243); Assad, A. (57561334300); Kaleel, A. (57212376665); Wong, L. (59679491300); Abdulla, D. (58701997400); Hamdan, A. (59261414400)","57223811243; 57561334300; 57212376665; 59679491300; 58701997400; 59261414400","Evaluating AI-Generated Video Quality: A Novel Assessment Model","2025","Communications in Computer and Information Science","2381 CCIS","","","54","66","1","10.1007/978-3-031-82931-4_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000461446&doi=10.1007%2F978-3-031-82931-4_4&partnerID=40&md5=987e22bd3b20fb0789cddb992a729288","The rapid development of AI video generation has proliferated AI-generated videos through almost every segment of entertainment, education, and marketing. Despite such huge potential, this segment always stands out facing inconsistent video quality as one of the most critical challenges. It therefore follows that it sets up an integrated model with which to assess the quality of AI-generated videos in terms of fidelity, realism, consistency, accuracy, relevance, creativity, seamlessness, coherence, engagement, innovation, resolution and detail, color accuracy, frame rate and smoothness, AI artifacts and limitations, the uncanny valley effect, bias, and continuity. The study has critically analyzed the videos obtained from leading AI platforms to pinpoint key quality indicators and develop a robust benchmarking model capable of adapting to the changing standards of AI technology. A few of the key strengths seen for current AI tools (realism and resolution) were also clear weaknesses found (handling AI artifacts, continuity). This model offers an organized system that can be utilized to assess AI-generated videos (while identifying areas of enhancement) and also gives specific recommendations for moving forward with machine learning video generation. The research helps to create new benchmarks for AI powered media, drives innovation and improves the standard of AI driven video outputs in line with a rapidly expanding market demand for superior digital content. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Conference paper","Final","","Scopus","2-s2.0-86000461446"
"Pérez-Campdesuñer R.; Sánchez-Rodríguez A.; García-Vidal G.; Martínez-Vivar R.; De Miguel-Guzmán M.","Pérez-Campdesuñer, Reyner (56386013100); Sánchez-Rodríguez, Alexander (58772950700); García-Vidal, Gelmar (57192385254); Martínez-Vivar, Rodobaldo (57192373170); De Miguel-Guzmán, Margarita (57190812152)","56386013100; 58772950700; 57192385254; 57192373170; 57190812152","Artificial Intelligence in Ecuadorian SMEs: Drivers and Obstacles to Adoption","2025","Information (Switzerland)","16","6","443","","","3","10.3390/info16060443","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009040959&doi=10.3390%2Finfo16060443&partnerID=40&md5=3f467579b7a0d141f7b6bca041629489","This study analyzes the current state of artificial intelligence (AI) adoption among micro-, small-, and medium-sized enterprises (MSMEs) in Ecuador, with a focus on its application across core business functions. Using a stratified random sample of 385 firms from the most representative economic sectors, a survey instrument was designed to assess three dimensions: access to AI-enabling conditions, degree of AI utilization, and organizational characteristics. The results reveal that AI adoption remains limited and highly concentrated in marketing-related functions, particularly in content generation and social media automation, with minimal implementation in finance, logistics, and human resource management. The study also identifies the main barriers hindering AI adoption. The lack of qualified professionals and the unavailability of structured databases emerged as the most critical obstacles, followed by limited financial capacity. One-way ANOVA and Kruskal–Wallis tests confirmed significant differences in AI adoption levels based on company size and sector, especially in areas such as inventory optimization and design prototyping. These findings highlight a gap between the potential of AI technologies and their real-world implementation in Ecuadorian MSMEs. They underscore the need for targeted strategies focused on workforce training, digital infrastructure development, and institutional support to promote broader and more effective AI integration. © 2025 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105009040959"
"Pinarbasi F.","Pinarbasi, Fatih (57208485135)","57208485135","Country-of-origin effect and digital marketing: Evaluating current and future of marketing","2023","Origin and Branding in International Market Entry Processes","","","","117","137","0","10.4018/978-1-6684-6613-1.ch006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172818242&doi=10.4018%2F978-1-6684-6613-1.ch006&partnerID=40&md5=9f39cfd591e841cbd1e2663ae857a989","The country-of-origin effect, which has been researched extensively in marketing literature, has lately been impacted in several ways by digital marketing and associated actions. This study aims to address the issue's current state in a variety of ways and to draw future conclusions about its many aspects. The study examines the country-of-origin effect and digital marketing concepts together by including the intervention topics of two concepts and the future of the topics for the next years. For the intervention side of two topics, four topics are concluded in the study: the effect of COO on digital marketing strategy and decisions, the effect of digital marketing on COO-related consumer constructs, the indirect effects of COO on consumers and digital marketing relationships, and the effect of COO on macro environment concepts. For the future of the topics, three topics are included in the study: increasing usage of existing digital marketing activities for COO, the employment of AI-supported content generation systems, and the potential of using AI-supported research and analysis. © 2023, IGI Global.","Book chapter","Final","","Scopus","2-s2.0-85172818242"
"Hasim M.A.; Nazri S.N.A.M.","Hasim, Muhammad Asyraf (57194587224); Nazri, Siti Nur Aliya Mohd (59670698100)","57194587224; 59670698100","The Role of Mobile Application Design, Branding, AI-Driven Personalization, and Social Commerce Integration on Purchase Intention Among Generation Z: The Mediating Role of Mobile App Marketing","2025","Paper Asia","41","1","","317","329","5","10.59953/paperasia.v41i1b.371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000091110&doi=10.59953%2Fpaperasia.v41i1b.371&partnerID=40&md5=5faee1113f8cb764603102a2c4d60eb9","This study explores the influence of mobile application design, branding, AI-driven personalisation, and social commerce integration on the purchase intention of Generation Z users in Malaysia, with mobile app marketing serving as a mediator. Generation Z, as a highly tech-savvy and digitally native demographic, is increasingly shaping the landscape of mobile commerce. A cross-sectional survey was conducted among 431 respondents, primarily students from a private university in Kuala Lumpur, Malaysia. The data were analysed using Partial Least Squares Structural Equation Modeling (PLS-SEM) through SmartPLS 4.0. The findings reveal that mobile application design, branding, AI-driven personalisation, and social commerce integration all significantly contribute to increasing purchase intention, with AI-driven personalisation demonstrating the strongest effect. The results also indicate that mobile app marketing plays a crucial mediating role, enhancing the effectiveness of mobile app design and branding in driving purchase intention. The indirect effects of mobile app marketing on the relationship between mobile app design and purchase intention and branding and purchase intention were significant. This study emphasises the importance of optimising user experience, leveraging brand trust, offering personalised content, and integrating social commerce features to effectively influence consumer behaviour among Generation Z. These findings provide valuable insights for marketers and app developers seeking to design and implement effective strategies to engage Generation Z users, optimise mobile app features, and increase conversion rates. Ultimately, the study underscores the evolving role of mobile app marketing as a key driver in digital commerce. © 2025, SHPMedia Sdn Bhd. All rights reserved.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-86000091110"
"Maathuis C.; Derous S.; Rahimi E.","Maathuis, Clara (57193679249); Derous, Samuel (59485190000); Rahimi, Ebrahim (57191332725)","57193679249; 59485190000; 57191332725","Design Insights for Developing Deepfakes Awareness Games for Adolescents","2024","Proceedings of the European Conference on Games-based Learning","18","1","","561","570","2","10.34190/ecgbl.18.1.2691","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212943906&doi=10.34190%2Fecgbl.18.1.2691&partnerID=40&md5=51620e0a511b9cdf26b67af94a3b8e10","Around a decade ago, significant advancements in the deep learning domain like Generative Adversarial Networks (GANs) started to facilitate the creation of new synthetical content. The development of deepfake algorithms gained momentum due to the increase in computing power and open-source available resources which facilitated broader access to advanced deep learning methods. While initially deepfakes were created by creative pursuits in various media and marketing campaigns, they started to be misused driven by malicious purposes in various social media manipulation campaigns. These campaigns imply spreading disinformation and misinformation for discrediting individuals and creating confusion in relation to specific topics and events and are meant to altering users’ beliefs and behaviours. Such facts raised important ethical and societal concerns. Although deepfakes still represent a recent research area, a large body of studies is dedicated to, on the one hand, generation, and detection of deepfakes, and on the other hand, to understanding their implications and consequences for society. At the same time, governmental and practitioner efforts are devoted to containing their use and impact on society by proposing various strategies and programs. Nevertheless, both academic and societal efforts are in an incipient stage and often adopt a generalist perspective. This represents a crucial point in relation to the fact that many users in various social media platforms like TikTok is represented by adolescents that are known to be unaware and more vulnerable to media content in general, and deepfakes content, in particular. This represents the knowledge gap that this research aims to tackle by synthesizing design insights as requirements and guidelines that can be used when developing and deploying deepfakes awareness games for producing and/or enhancing awareness of adolescents. Accordingly, a systematic literature review is conducted and merged with previous experience in this domain by adopting a transdisciplinary research approach that merges methods and techniques from the deepfakes, AI, social media, cyber security, and gamification domains. © 2024 Dechema e.V.. All rights reserved.","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85212943906"
"Ramesh J.V.N.; Singh S.S.; Vora A.; Vikram G.; Gorkhe M.; Raj I.I.","Ramesh, Janjhyam Venkata Naga (59253432200); Singh, Seram Sureshkumar (59696813600); Vora, Ashish (59696165100); Vikram, G. (57204496956); Gorkhe, Monika (59333381600); Raj, I Infant (57202985713)","59253432200; 59696813600; 59696165100; 57204496956; 59333381600; 57202985713","Harnessing Generative AI for Business Growth and Opportunities","2024","2024 International Conference on Artificial Intelligence and Quantum Computation-Based Sensor Applications, ICAIQSA 2024 - Proceedings","","","","","","1","10.1109/ICAIQSA64000.2024.10882452","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000148746&doi=10.1109%2FICAIQSA64000.2024.10882452&partnerID=40&md5=7823c1fe673c33722c40ff7cb279d13b","Using Generative Artificial Intelligence (AI) for Business Development and Opportunities is a ground-breaking concept that is changing how businesses formulate their strategies and content, how they can improve existing decisions and/or foster new market initiatives. Marketing can be enhanced by the use of advanced model AI in generating more profound approaches that can be adopted in creating marketing material in order to take up a business a notch higher. Thus, this paper aims at proposing a new method that complements the use of GPT-4 and Variational Autoencoders (VAE) in generating good business content and synthetic data as compared to conventional approaches. The applied in this paper is a python-based methodology that comprises of data collection process which involves Kaggle datasets encompassing market trends, customer behavior, and competitors analysis. Specifically, web scraping and data augmentation are used in preprocessing with the help of BeautifulSoup, Scrapy as well as SMOTE to improve the quality and variability of the dataset. Feature engineering employs PCA and TF-IDF to select and transform the features for improving the decision boundary of the dataset and to obtain the textual patterns. The GPT-4 model is used for the generation of contextualised and business relevant text, which helps the VAEs in the creation of synthetic data that improves the models capability in data sparse situations and for various business scenarios. The procedure of fine-tuning of the parameters of the model to enhance accuracy and relevance of the AI generated outputs is known as Bayesian Optimization. The suggested approach performs better than the existing literature including better BLEU scores, cross-validation accuracy, and runs faster. Essentially, this research offers a strong basis for employing generative AI in business while presenting notable improvements over prior models and improving business strategy implementation. © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105000148746"
"Kanipakam C.K.; Nilkund D.; Poduval D.; Srilalitha G.; Chaitra N.","Kanipakam, Chittesh Kumar (59546301800); Nilkund, Dhruv (60032252500); Poduval, Dhruv (60031541200); Srilalitha, Ganta (60032252600); Chaitra, N. (57210885399)","59546301800; 60032252500; 60031541200; 60032252600; 57210885399","Prarochana AI: AI-Enabled Ad Campaign Generation and Analysis","2025","6th International Conference on Control Communication and Computing, ICCC 2025","","","","","","0","10.1109/ICCC64910.2025.11077247","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012735019&doi=10.1109%2FICCC64910.2025.11077247&partnerID=40&md5=33389e8f848912200d1d1b743508189e","Digital marketing, in today's digital era, is an evolving trend in the marketing sector. It boosts businesses to reach a wider audience, including other businesses and customers through appropriate advertising and effective marketing strategies for their products. The traditional marketing methods incur high costs, time, third-party agencies, and a group of expert analysts responsible for drafting the ads, including inefficiency in conveying an appropriate message to the target audience, and difficulties in managing multiple campaigns. To overcome these challenges, we present Prarochana AI, an innovative application of Generative AI in automating advertisement campaign generation tailored to the beverage industry. Leveraging the dataset containing ad campaigns of the beverage industry, the application facilitates the creation of engaging and effective ad content using LLMs, RAG LLMs, and Image generation models. Besides, it generates an approximate and optimized budget that must be allocated for the campaign across various digital platforms, ultimately enhancing marketing efficiency and consumer engagement. Our proposed application enables users to get meaningful content for advertising, and campaign plans and have a seamless experience. © 2025 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105012735019"
