"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"","","","Retraction notice: Implementing Google Tag Manager (GTM) in library websites (Library Hi Tech News, (2023), 10.1108/LHTN-08-2023-0150); [Retraction notice: Implementing Google Tag Manager (GTM) in library websites (Library Hi Tech News, (2022), 10.1108/LHTN-08-2023-0150)]","2024","Library Hi Tech News","41","4","","19","","0","10.1108/LHTN-03-2024-0039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202454968&doi=10.1108%2FLHTN-03-2024-0039&partnerID=40&md5=35f62b04e1f922a582a95a3ed52dd7f5","It has come to our attention that this article was created with the assistance of a generative AI tool. As part of an investigation into the article, the authors conceded use of a generative AI tool. As a result, the findings of the article cannot be relied upon. This article has been retracted at the authors’ request. Library Hi Tech News author guidelines make it clear that use of a generative AI tool for copywriting any part of an article is not permissible and is considered a breach of research integrity and our policies. © Emerald Publishing Limited 2024.","Erratum","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85202454968"
"González-Arias C.; López-García X.","González-Arias, Cristian (58666027300); López-García, Xosé (27567870600)","58666027300; 27567870600","ChatGPT: Stream of opinion in five newspapers in the first 100 days since its launch; [Flujo de opinión en cinco diarios en los 100 primeros días desde el lanzamiento de ChatGPT]","2023","Profesional de la Informacion","32","5","e320524","","","17","10.3145/epi.2023.sep.24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174962904&doi=10.3145%2Fepi.2023.sep.24&partnerID=40&md5=d0b164985d78c3578c6f5403a0a41cf4","In the last decade, journalism has progressively incorporated artificial intelligence (AI) into several processes: information analysis, content extraction, audience research, and automated copywriting, among others. ChatGPT, which has a great capacity for interacting with people through natural language and providing a response to almost any topic, focuses on content creation. This significant technological advancement rekindles the debate on whether machines will replace humans, including journalists. Focusing on the case of the Spanish press and using the framework of studying media participation in the public debate, we are interested in the press’s reaction to ChatGPT’s launch. Specifically, we asked the following questions: What were the issues that dominated the debate, and what voices were called upon to express their opinions? The stream of opinion on this issue was analyzed from a communication studies and discourse analysis perspective, starting with the identification of opinion statements expressed in articles of various journalistic genres conveyed by the press during the first 100 days since the launch of ChatGPT on November 30, 2022. We worked with 176 press articles that addressed the subject in five Spanish generalist newspapers. The results showed that the flow of opinion developed from 8 subtopics and 11 groups of voices. The prevailing opinion during this period was that ChatGPT is an extraordinary technological milestone, even if it makes mistakes that reveal the technology’s immaturity. The main shortcomings identified were the inability to distinguish between what is true and what is false, its tendency to function as a black box, and its failure to account for the sources it uses. However, owing to the business potential that it heralds, it is clear that a real war for the dominance of AI has broken out, which makes it necessary to put regulations in place to reduce the risks of malicious use. © 2023, El Profesional de la Informacion. All rights reserved.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85174962904"
"Zhao N.; Wu Y.; Li K.","Zhao, Nenggui (57203591435); Wu, Youqing (60301655200); Li, Kai (56956004600)","57203591435; 60301655200; 56956004600","Human vs. Generative AI: Strategic content creation mode choices for competing creators","2026","International Journal of Production Economics","292","","109913","","","0","10.1016/j.ijpe.2026.109913","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026899657&doi=10.1016%2Fj.ijpe.2026.109913&partnerID=40&md5=1ed9aede790f959be990132825c96fb2","With the rapid development of the platform economy, product-related content (e.g., short videos, copywriting, and live streaming) has emerged as a pivotal determinant of consumer decision-making. The widespread adoption of Generative Artificial Intelligence (GAI) technology enables content creators to produce product-related content more efficiently and at lower cost, yet it concurrently introduces new challenges. Specifically, the proliferation of GAI has heightened consumer skepticism regarding the authenticity and reliability of GAI-created content. Therefore, achieving a balance between GAI application and consumer trust is crucial for content creators. This paper examines a retail platform with two competing content creators who face a strategic choice between two content creation strategies: GAI-creation and human-creation, with consumers exhibiting greater trust in the latter. Our findings indicate that when the costs of GAI-creation are low, creators increase their content effort levels and set higher selling prices. Conversely, higher GAI costs result in reduced effort levels and lower pricing. Notably, under low GAI-creation costs, adopting GAI proves beneficial for creators, irrespective of their competitors’ strategies. Furthermore, if both parties adopt the GAI-creation strategy, a triple-win situation can be achieved among the platform and the two creators. However, when the GAI-creation costs are high, creators eschew GAI adoption regardless of their competitors’ decisions. In such cases, mutual reliance on human-creation yields a triple-win outcome for the entire supply chain. Finally, under hybrid strategy scenarios, the platform systematically guides creators with greater market influence toward the content creation strategy that holds relative advantages. © 2026 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-105026899657"
"Pugachev A.A.; Kharchenko A.V.; Sleptsov N.A.","Pugachev, Andrei A. (58250401900); Kharchenko, Alina V. (58519822800); Sleptsov, Nikolai A. (58250611700)","58250401900; 58519822800; 58250611700","Transforming the future: a review of artifical intelligence models; [Преобразование будущего: обзор моделей искусственного интеллекта]","2023","RUDN Journal of Studies in Literature and Journalism","28","2","","355","367","5","10.22363/2312-9220-2023-28-2-355-367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166541365&doi=10.22363%2F2312-9220-2023-28-2-355-367&partnerID=40&md5=ac42ce6a09706b7818102e6acf26ec34","A comprehensive review of existing artificial intelligence models, focusing on fourteen prominent language and multimodal generative models from four rapidly evolving categories: Marketing, Copywriting, Image Improvement, and Social Media, is made. As of May 2023, 1,523 AI models are available to end users, with notable Russian services such as Balaboba, GigaChat, and Kandinskiy 2.0 emerging as counterparts to popular foreign neural networks. The potential applications of these tools in various media production domains, including journalism, marketing, and copywriting, are explored. It was necessary to talk about language models, since these are the ones, most connected not only to the media sphere, but to academic writing as well. Moreover, the authors delve into the ethical considerations associated with the use of AI models in professional settings, addressing potential challenges and concerns. The importance of responsible development, use, and regulation of AI technology, as well as the need for collaboration among researchers, governments, and private organizations to ensure ethical AI practices, is highlighted. The authors also outline the prospects for further development of AI models and related research, emphasizing the need to foster an environment of continuous learning for innovation that is inclusive and accessible. This approach will help maximize the benefits of AI while minimizing potential harm, paving the way for a more prosperous, equitable, and sustainable future. The presented materials can serve as an introduction to the emerging branch of AI models development. © Pugachev A.A., Kharchenko A.V., Sleptsov N.A., 2023.","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85166541365"
"","","","Retraction notice: An overview of FOLIO: an open-source library management system(Library Hi Tech News, 10.1108/LHTN-08-2023-0138)","2024","Library Hi Tech News","41","4","","20","","0","10.1108/LHTN-03-2024-0038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000830903&doi=10.1108%2FLHTN-03-2024-0038&partnerID=40&md5=10880b4976254871b8b426ce9ecbea2d","The publisher of Library Hi Tech News wishes to retract the article by Anant Madhav Kulkarni, Muthumari Pandiyan and Chetan Sudhakar Sonawane (2023) ‘An overview of FOLIO: an open-source library management system’, published in Library Hi Tech News, Vol. ahead-ofprint No. ahead-of-print. https://doi.org/ 10.1108/LHTN-08-2023-0138. It has come to our attention that this article was created with the assistance of a generative AI tool. As part of an investigation into the article, the authors conceded use of a generative AI tool. As a result, the findings  of the article cannot be relied upon. This article has been retracted at the authors’ request. Library Hi Tech News author guidelines make it clear that use of a generative AI tool for copywriting any part of an article is not permissible and is considered a breach of research integrity and our policies. The retracted article is available at: 10.1108/LHTN-08-2023-0138. © 2024 Emerald Publishing Limited.","Erratum","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-105000830903"
"Henao C.; Lis Gutiérrez J.P.; Castillo-Barbosa C.D.","Henao, Carolina (57195506485); Lis Gutiérrez, Jenny Paola (57192707622); Castillo-Barbosa, Cristian Daniel (58867315700)","57195506485; 57192707622; 58867315700","Business Conditions in OECD Countries (2010-2019): A Longitudinal Analysis Applying Machine Learning; [Condiciones empresariales en los países de la OCDE (2010-2019): Un análisis longitudinal aplicando aprendizaje automático]","2023","Salud, Ciencia y Tecnologia - Serie de Conferencias","2","","515","","","0","10.56294/sctconf2023515","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184219092&doi=10.56294%2Fsctconf2023515&partnerID=40&md5=6831948468e4e8e09a07b006eafeb265","The purpose of this research is to determine what are the uses of GPT Chat in Marketing according to the academic literature published between 2020 and 2023? It seeks to analyze the applications of GPT chat in the Marketing industry, achieving: (i) to explain the main characteristics of GPT Chat, based on the collection of information from Open AI; (ii) to identify the advantages and disadvantages of the applications of GPT chat in marketing, based on the review of scientific papers, and (iii) to compare the applications of GPT chat in marketing. To this end, a qualitative research was developed with a descriptive scope based on the review of literature indexed in EBSCO, Science Direct and Google Scholar between 2020 and 2023, specifically 30 papers. This provided evidence that GPT chat can be used for content creation, consumer insight, personalized marketing strategy development, segment targeting, copywriting, market research, report development and cost reduction. Despite the advantages of GPT Chat, its implementation faces great challenges, due to the lack of knowledge about its scope and social impact, causing people to feel mistrust about its reliability. © Autor(es); 2023.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85184219092"
"Restrepo A.N.R.; Lis-Gutiérrez J.P.","Restrepo, Angie Natalia Rojas (58867087400); Lis-Gutiérrez, Jenny Paola (57192707622)","58867087400; 57192707622","A review of GPT Chat applications in Marketing; [Una revisión a las aplicaciones del Chat GPT en Marketing]","2023","Salud, Ciencia y Tecnologia - Serie de Conferencias","2","","514","","","3","10.56294/sctconf2023514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184189860&doi=10.56294%2Fsctconf2023514&partnerID=40&md5=4787b6a770033ac4b22a198ded6a5953","The purpose of this research is to determine what are the uses of GPT Chat in Marketing according to the academic literature published between 2020 and 2023? It seeks to analyze the applications of GPT chat in the Marketing industry, achieving: (i) to explain the main characteristics of GPT Chat, based on the collection of information from Open AI; (ii) to identify the advantages and disadvantages of the applications of GPT chat in marketing, based on the review of scientific papers, and (iii) to compare the applications of GPT chat in marketing. To this end, a qualitative research was developed with a descriptive scope based on the review of literature indexed in EBSCO, Science Direct and Google Scholar between 2020 and 2023, specifically 30 papers. This provided evidence that GPT chat can be used for content creation, consumer insight, personalized marketing strategy development, segment targeting, copywriting, market research, report development and cost reduction. Despite the advantages of GPT Chat, its implementation faces great challenges, due to the lack of knowledge about its scope and social impact, causing people to feel mistrust about its reliability. © Autor(es); 2023.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85184189860"
"Hunt J.; Kerr D.","Hunt, Jason (58193743400); Kerr, Dave (58193192200)","58193743400; 58193192200","The hybrid formula: The essential role of human creativity in AI-generated advertising","2025","Journal of Brand Strategy","14","1","","30","42","0","10.69554/NBYX9041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008563243&doi=10.69554%2FNBYX9041&partnerID=40&md5=44a5983dc36c0276039a139311fc6101","In an era where artificial intelligence (AI) integration into marketing strategies is becoming increasingly prevalent, this study examines the efficacy of AI-generated advertising copy against human-written copy. Focusing on a diverse range of businesses, including podcast promotion, dental marketing, restaurant advertising, real estate investment, SaaS tool promotion and sports team engagement, the research employs rigorous A/B testing methodologies. Metrics for comparison included click-through rates (CTRs) and cost per result across ad campaigns optimised for web traffic and engagement on the Meta platform. Different AI models, such as GPT-4, Custom GPT for Meta Ads and Meta’s own AI suggestions, were tested alongside human copywriters.The findings reveal that while AI can efficiently generate ad copy that competes closely with human efforts, human copywriters consistently achieved higher CTRs and lower costs per result in the majority of tested scenarios. Human-generated copies outperformed AI in 9 out of 12 cases for cost-effectiveness and in 5 out of 12 cases for CTR effectiveness.These results underscore the nuanced understanding and creative capabilities that human marketers bring to ad copywriting, which are crucial in crafting compelling marketing messages that resonate with target audiences.This paper recommends a hybrid approach, leveraging AI’s ability to generate initial ad copy drafts and utilising human expertise for final edits and enhancements.This approach harnesses the speed and scalability of AI while ensuring the emotional and contextual relevance that only human creativity can provide, thus optimising both engagement and economic efficiency in digital advertising campaigns. © HENRY STEWART PUBLICATIONS.","Article","Final","","Scopus","2-s2.0-105008563243"
"Berke S.","Berke, Szilard (58187949700)","58187949700","Direct Labor Market Effects of Artificial Intelligence Assisted Applications Based on the Opinions of Illustrators and Company Managers: Hungarian Case Study","2023","Eurasia Proceedings of Science, Technology, Engineering and Mathematics","23","","","495","504","1","10.55549/epstem.1374905","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177173407&doi=10.55549%2Fepstem.1374905&partnerID=40&md5=673c731c62ea5e4055e03f2ffc72c90b","In the creative industry, the last six months have seen a remarkable and rapid change with the widespread availability of certain AI-based applications for the average user, such as the various Stable Diffusion image generators, the ControlNet that goes with them, and ChatGPT. In particular, the world of illustration, corporate design/design planning, translation, film production, copywriting, virtual education is all undergoing significant and irreversible change. In this article, we summarize what can be known about the impact of AI-assisted digital applications on the labour market for the illustration professionals. Based on exploratory research used in-depth interviews, opinions are markedly divided. Some see AI-assisted applications as a new opportunity, a rapid development of a hybrid toolkit to gain a competitive advantage. Others argue that they represent a threat to daily livelihoods and devalue hand-made creative work. According to business leaders, they can deliver significant cost savings without compromising on the level of quality expected, and on the contrary, they can enhance the user experience. © 2023 Published by ISRES Publishing: www.isres.org.","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85177173407"
"Novikova E.Y.; Chemeteva Y.V.","Novikova, Elina Yu. (57189072260); Chemeteva, Yuliya V. (58558575400)","57189072260; 58558575400","Artificial Intelligence in the Legal Support of the Translation Business 4.0: Translator’s Legal Status, Aspects of Copyright","2025","Intelligent Systems Reference Library","276","","","107","115","0","10.1007/978-3-031-93474-2_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010888602&doi=10.1007%2F978-3-031-93474-2_9&partnerID=40&md5=e15c25a76b87b079f46cc1b2922a6991","The legal regulation of translation activities is aimed at ensuring the protection of translators’ rights. To achieve proper quality, optimal conditions should be provided to the translator: sufficient time to complete the work; necessary resources at their disposal, etc. The chapter describes the modern translation business which is characterized by the wide use of information technology in all types of translation craft: translation and interpreting, copywriting, web marketing, transcreation, etc. The authors analyze the legal aspect of applying in the translation automated programs and systems, translation memory programs, which are based on integrated machine translation and artificial intelligence modules. The article investigates the legal issues of using AI in the translator’s work. The choice of this topic is justified by the following factors: the transformation of the profession in the era of digital technology; the widespread use of AI tools in the translator’s work; the need to have an idea of the normative legal acts of the country into whose language the translation is carried out; the correlation of the translator’s labor costs and AI when performing translation, etc. The authors carry out a comparative analysis of the legal regulation of using information technology in the translation business in various countries. The article presents the analysis of the translation business legal support based on the documents of major translation associations, the EU, and translation standards. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Book chapter","Final","","Scopus","2-s2.0-105010888602"
