"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Guercini S.; Sestino A.","Guercini, Simone (6508351129); Sestino, Andrea (57218456709)","6508351129; 57218456709","Bridging Artificial Intelligence and Marketing Automation: An Overview","2025","Micro and Macro Marketing","34","3","","451","460","0","10.1431/118665","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022515071&doi=10.1431%2F118665&partnerID=40&md5=ba345039e8237c6ace2e5aa7f18a01a6","Forms of artificial intelligence (AI) are increasingly being used in companies’ marketing activities, generating processes that can lead to greater marketing automation. The automation paradigm is affecting marketing after having affected other functions in past decades. Automation in the broad sense should not be understood solely as a replacement for the human component, but also as the development and enhancement of the skills and abilities of marketing professionals in their interface with technology. This enhancement may be required of both marketers and consumers. In this article, we present a series of studies that highlight, from different perspectives, the implications of adopting forms of AI in the customer journey and in marketing organization. The articles analyze both consumer and business markets, as well as specific contexts such as hospitality services, internal marketing, and brand communication. The effects of AI adoption on marketing organization represent essential steps in an automation process and are intertwined with technology adoption and innovation processes from the perspective of marketing organizations. © 2025 Societa Editrice Il Mulino. All rights reserved.","Review","Final","","Scopus","2-s2.0-105022515071"
"Chalaris M.; Patitsa C.; Kalogiannidis S.","Chalaris, Michail (23988662700); Patitsa, Christina (57202620491); Kalogiannidis, Stavros (57348764800)","23988662700; 57202620491; 57348764800","Navigating the future: Embracing advances in AI and digital transformation and seamlessly integrating ESG across sectors","2025","Navigating the Future: Embracing Advances in AI and Digital Transformation and Seamlessly Integrating ESG Across Sectors","","","","1","346","0","10.52305/WJEZ1768","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008486097&doi=10.52305%2FWJEZ1768&partnerID=40&md5=9863dcbe4e4ea7e8d56d03aa3d2ece19","In this book, readers are taken on a comprehensive journey through the cutting-edge intersection of technology and sustainability. This book is an invaluable resource for a diverse audience, including academics, industry professionals, policymakers, and students, providing a holistic understanding of how artificial intelligence (AI) and digital transformation can be leveraged to enhance environmental, social, and governance (ESG) outcomes. This book begins with an insightful exploration of leadership in the information era, highlighting the synergy between augmented intelligence and soft skills. It then delves into the role of AI in workplace well-being, showcasing how technology can improve employee management and satisfaction. A critical look at AI's transformative potential in healthcare and education follows, addressing both the benefits and ethical challenges of integrating AI into these vital sectors. A special focus is given to the digital transformation of public administration, with a case study on Greece's AI-driven e-democracy initiatives, shedding light on the complexities of modern governance. The narrative then shifts to the business realm, examining strategies for digital transformation within Greek enterprises and the broader European context. Key industrial applications are thoroughly covered, including the use of AI in manufacturing for optimizing asset management and reducing downtime, as well as its impact on supply chain efficiency in global corporations. This book also assesses AI-driven chatbots in e-commerce, AI marketing strategies, and the integration of ESG factors into financial models for predicting bankruptcy. With dedicated chapters on the evolving role of AI in personal relationships, the burgeoning relationship between AI and tourism, and the importance of digital solutions in accessible tourism, this book offers a panoramic view of the current and future landscapes shaped by these technologies. Additionally, it discusses digital transformation strategies for smallholder farming communities, highlighting Agriculture 4.0's potential for improving market access and profitability. This book provides a nuanced perspective on how AI and digital transformation can be harmonized with ESG principles, ultimately fostering a more sustainable and equitable future across various sectors. © 2025 by Nova Science Publishers, Inc. All rights reserved.","Book","Final","","Scopus","2-s2.0-105008486097"
"Frances A.","Frances, Allen (7103042049)","7103042049","Warning: AI chatbots will soon dominate psychotherapy","2025","British Journal of Psychiatry","","","","","","12","10.1192/bjp.2025.10380","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013760142&doi=10.1192%2Fbjp.2025.10380&partnerID=40&md5=7230cf07fe092b550eb45ed4230740fb","Psychotherapy chatbots have attained remarkable fluency, skill and ubiquity-having become the single most frequent reason people use artificial intelligence. Their uncanny ability to engage and validate is a two-edged sword-useful for the majority of users who are experiencing problems of everyday life or have milder mental disorders, but dangerous for the minority who have more severe problems (e.g. psychosis, bipolar disorder, self-mutilation, suicide, antisocial impulses, eating disorders, conspiracy theories, religious and political extremism). Chatbots are created to make money, without meaningful quality control, safety guardrails and external regulation. They will likely be misused to create addiction, reduce human contact, invade privacy, allow exploitation and create opportunities for marketing and political propaganda. Chatbots also make mistakes ('hallucinations'), deceptively cover them up and sometimes go rogue (acting outside the parameters set by their human programmers). Psychotherapy practitioners and associations are curiously complacent about the rapid emergence of artificial intelligence competition. Their passivity reflects ignorance about the power of chatbots, denial of their likely impact and arrogance regarding their capacities (e.g. 'no machine will ever replace me'). This is both incorrect and foolhardy-human therapists expect to win in competition for most healthier patients and must train or retrain to do things artificial intelligence does poorly-working with the more seriously ill and in settings and situations that are more idiosyncratic, chaotic or quickly changing. If we can't work with artificial intelligence, we are likely to be replaced by it. I will describe: (a) benefits of chatbot therapy, (b) its terrifying dangers, (c) its likely impact on human therapy and training and 4) ways we can adapt to the artificial intelligence threat.  © The Author(s), 2025.","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105013760142"
"Wei D.; Li L.; You Z.","Wei, Dong (59196956200); Li, Lingxuan (59196956300); You, Zongyuan (59196536700)","59196956200; 59196956300; 59196536700","Teaching Practices and Reflections on AIGC in Brand Advertising Design","2024","Communications in Computer and Information Science","2118 CCIS","","","113","124","8","10.1007/978-3-031-61963-2_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197126479&doi=10.1007%2F978-3-031-61963-2_12&partnerID=40&md5=5b6b31ceec42a26b69860915d0e3fa15","Generative Artificial Intelligence (AIGC) technology has been quickly evolving since 2022, with advertising becoming one of its most popular applications. This opens up new potential and difficulties for current and future brand advertising design education. This article investigates AIGC's design thinking transformation in brand advertising design using the course “AIGC: Machine-Assisted Innovative Design for Brand Advertising” offered at Communication University of China (CUC) during the summer semester of 2023. The goal is to help students comprehend AI art and machine learning, to break down the homogenization of AIGC-generated outcomes from an art and design standpoint, and to develop students’ critical thinking skills so that they can reconsider the creative value of the human brain. The course is structured into two parts: the first part focuses on learning and experiencing AIGC technologies such as ChatGPT, Midjourney, Runway, and others, and applying them thoroughly in design practice. The second half of the course focuses on China Chic brand advertisements and uses hand-drawing, computer-aided design, and AICG to create a whole case design. The course findings demonstrate that AIGC tools have a high level of innovation in the creative process, but there are some issues such as uncontrollability and homogeneity that require humans to spend more time and energy adapting. Students agreed that generative AI can be an effective technique to inspire human creativity, and that when employing AIGC tools, designers should look for ways to collaborate with AI rather than viewing it as a total replacement for humans. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Conference paper","Final","","Scopus","2-s2.0-85197126479"
"Kohli J.K.","Kohli, Japjee Kaur (59390077900)","59390077900","Impact of Artificial Intelligence on Fashion Education for Future Jobs","2025","Higher Education for the Future","12","1","","114","128","7","10.1177/23476311241284860","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207767282&doi=10.1177%2F23476311241284860&partnerID=40&md5=fb31eddaf5a442fdb3764fe64377a36f","In the twenty-first century, artificial intelligence (AI) will change the way organizations conduct their daily operations. In addition, cutting-edge digital technologies like AI, Internet of things, augmented reality/virtual reality, cloud computing, robotics and big data will have a significant impact on the nature of future jobs. This revolutionary influence may be seen in the fashion industry across a wide variety of specialities, including design, sampling, production, quality and inspection, packaging and labelling, marketing, advertising and sales. This transformation also highlights the necessity for upgrading the fashion curriculum to include the essential and desired skills and competencies to enable students to apply such digital technology for future jobs. The purpose of this study is to examine the future skill and competence needs that will need to be linked with the curriculum of the Bachelor’s degree in Fashion Design programme for the use of AI in the fashion sector. The present research employs qualitative approaches. Skills for future jobs are identified through the literature and verified by employers. The findings reveal that skills and competencies imparted through the current curriculum are insufficient to work in the digital world, and a relook into the curriculum is required to produce an AI-savvy workforce. © 2024 The Kerala State Higher Education Council.","Article","Final","","Scopus","2-s2.0-85207767282"
"Aleixo J.E.; Reis J.L.; Teixeira S.; Lima A.P.","Aleixo, J.E. (58767283000); Reis, J.L. (36848558100); Teixeira, S. (57191041114); Lima, A.P. (60160391000)","58767283000; 36848558100; 57191041114; 60160391000","The Transformative Impact of Artificial Intelligence on Digital Marketing","2024","Atas da Conferencia da Associacao Portuguesa de Sistemas de Informacao","","","","133","145","0","10.18803/capsi.v24.133-145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020055277&doi=10.18803%2Fcapsi.v24.133-145&partnerID=40&md5=cad8e9a4455900652590405e2569867e","In an era where Artificial Intelligence (AI) interest is rapidly rising and is often seen as the catalyst for the 4th Industrial Revolution, this study examines the AI impact on Digital Marketing (DM) through a qualitative research methodology. Through detailed in-depth interviews with 10 experts in AI and DM from various industries, it was found that AI significantly influences marketing functions, skills, and capabilities, with expectations of continued development in the future. The study highlights that AI significantly boosts the efficiency and effectiveness of DM activities, providing a detailed understanding of the audience and allowing for real-time customization/personalization of the customer experience. The investment in training marketing professionals need to be emphasized, pointing out AI's potential to bring about major changes within organizations. Implementing AI demands financial, time, and resource investments, with the challenges and limitations differing depending on the organization's size. Despite this, AI integration should be approached strategically, cautiously, ethically, and transparently, underlining the current difficulties organizations face in creating adoption strategies. The study also raises ethical issues, especially concerning data monopolization and the risk of its misuse, either intentionally or unintentionally. It also addresses practical concerns, such as employees' fear and resistance regarding job displacement and loss due to AI adoption. © 2024 Associacao Portuguesa de Sistemas de Informacao. All rights reserved.","Conference paper","Final","","Scopus","2-s2.0-105020055277"
"Kumar R.; Sharma V.","Kumar, Rajesh (57202953677); Sharma, Vishal (58912361600)","57202953677; 58912361600","The AI revolution: Financial services in the age of intelligent machines","2023","Leveraging AI and Emotional Intelligence in Contemporary Business Organizations","","","","287","305","3","10.4018/979-8-3693-1902-4.ch017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183831947&doi=10.4018%2F979-8-3693-1902-4.ch017&partnerID=40&md5=1d7c423d4ea57424d47d64a6ce77315d","The financial services industry is undergoing a considerable transition due to the fast-paced development of artificial intelligence (AI) and allied technologies. This chapter explores the influence of AI on financial services, including its origins, fundamental ideas, and diverse applications. Credit scoring, fraud detection, customer service, investment strategies, financial education, customized banking, portfolio management, marketing strategies, and regulatory compliance are just a few areas where AI have been deployed. There are various concerns regarding the use of AI in financial services, such as issues with data security and privacy, the need for localization to serve a variety of customer bases, operationalization difficulties, the necessity for trust and transparency, the dearth of necessary skills, and the complexity of AI-driven decisions. This chapter highlights the crucial part AI will play in deciding the direction of financial services in the future and the need of preserving ethical standards to make sure AI continues to be a driver for progress in the sector. © 2024, IGI Global. All rights reserved.","Book chapter","Final","","Scopus","2-s2.0-85183831947"
"Pawar L.","Pawar, Lakshay (60053287500)","60053287500","Design and Development of an AI-Powered Cold Mail Generator","2025","International Journal of Performability Engineering","21","6","","332","338","2","10.23940/ijpe.25.06.p5.332338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013602410&doi=10.23940%2Fijpe.25.06.p5.332338&partnerID=40&md5=8e18111982ce75ec2d9ac86981ff9bc7","The application of large language models (LLMs) in automating job posting extraction and generating personalized cold emails offers a promising approach to improving the efficiency and effectiveness of recruitment and marketing processes. The increasing reliance on email marketing in sales outreach and HR assistance has created a need for more efficient and effective email generation tools. Traditional methods of crafting personalized emails can be time-consuming and labor-intensive, leading to decreased productivity and efficiency. A prompt-based approach is used to fine-tune the LLM, enabling it to accurately extract relevant information from job postings, including job title, experience, skills, and description. The model leverages the LLM's ability to process unstructured data and generate human-like text, producing cold emails tailored to the specific needs of clients. The results demonstrate that the model achieves high accuracy in extracting job posting information and generating relevant cold emails, indicating its potential to improve response rates, conversion rates and provide personalized email content. © 2025 Totem Publisher, Inc. All rights reserved.","Article","Final","","Scopus","2-s2.0-105013602410"
"Abou Elgheit E.","Abou Elgheit, Emad (55972475000)","55972475000","Generative AI as a Disruptive Innovation: Implications for Marketing Strategic Transformations","2025","Foresight and STI Governance","19","1","","6","15","0","10.17323/fstig.2025.24831","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000891175&doi=10.17323%2Ffstig.2025.24831&partnerID=40&md5=516d7d0ffae8829398a111410065fec3","This study explores the potential for small marketing firms to disrupt the market by leveraging generative AI technology within the framework of disruptive innovation theory. A qualitative approach was employed, combining a comprehensive literature review with in-depth interviews with leaders from small marketing firms. The data was analyzed using the Natural Language Processing (NLP) and thematic analysis techniques. This study is the first to apply the theory of disruptive innovation to the use of generative AI at small marketing firms. It contributes to the emerging body of knowledge on AI in marketing and offers practical guid-ance for scholars and practitioners to advance this field. The findings suggest that small firms can gain a competitive edge by adopting AI early, utilizing it to target underserved mar-kets, and developing innovative, cost-effective services. The study positions generative AI as a significant technological evolution, with the potential to revolutionize the marketing industry. It identifies generative AI as a tool for enhancing ef-ficiency, content development, customer service, and research. Small marketing firms are found to be in various stages of AI adoption, with many viewing it as a complement to human creativity. This study highlights the need for new skills, such as AI literacy and strategic thinking, while also emphasizing the continued importance of human oversight. © 2025, National Research University, Higher School of Econoimics. All rights reserved.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105000891175"
"","","","3rd International Scientific Practical Conference, ISPC 2023","2024","Springer Proceedings in Business and Economics","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210851057&partnerID=40&md5=a8528204e9c3d21ac374be866591c693","The proceedings contain 23 papers. The special focus in this conference is on Scientific Practical. The topics include: The New Institutional Economics and Digitalization; digitalization and International Collaborations in Higher Education: Fostering a Global Academic Community (the Case of Georgia); the Impact of Cultural Differences on Consumer Behavior in Individualist and Collectivist Societies: A Study of Advertising Effectiveness and Brand Loyalty in Germany and Turkey; enhancing Economic Growth Through Digital Technologies: A Focus on Customs Risk; the Evolving Workforce: Technological Advancements and Their Impact on Employee Skills and Characteristics; social Commerce Revolutionizes Electronic Commerce; digitalization of the German Legal System from the Perspective of a District Court; rich Overnight? A Critical Review of Online Business Coaching in Germany; the Digital Future of Healthcare; cloud and Technology Services as Enablers of Digitalization in the Healthcare Sector; the Sustainable Digitalization Community of a German Federal Ministry—intention, Structure and Progress; the Use of Artificial Intelligence for Idea Generation in the Innovation Process; a Reference Model for Organizing Responsibilities in the Smart Factory; digitalization in Accounting; AI Platform of Enterprise Financial Stability Analytics; transitioning into Hybrid Work Models: An Analysis of Performance Success Factors; the Importance of Digital Management for Small and Medium-Sized Wine Producing Companies in Georgia; the Cultural Factor of Digital Entrepreneurship in the Context of Economic Growth; digital Marketing and Corporate Social Responsibility: Strategies for Brand Building and Stakeholder Engagement; the New Law of Georgia on E-commerce—Opportunities and Challenges; digitalization of Georgia’s Banking Sector.","Conference review","Final","","Scopus","2-s2.0-85210851057"
