"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Braga L.B.E.","Braga, Lucas Benevides E. (60156024100)","60156024100","Active Learning for Imbalanced Classification: Empirical Insights, Iteration Scheduling, and LLM-Augmented Validation","2025","IEEE Access","13","","","183673","183689","0","10.1109/ACCESS.2025.3624650","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019789318&doi=10.1109%2FACCESS.2025.3624650&partnerID=40&md5=a335949d9005acb732f8f906af9201df","In many real-world machine learning applications, obtaining labeled data is costly and time-consuming, particularly in domains such as medical diagnostics, fraud detection, and customer lead qualification. Active Learning (AL) mitigates this challenge by selectively querying the most informative samples for annotation, thereby improving label efficiency. This work presents a reproducible, statistically rigorous evaluation of three core AL strategies, uncertainty sampling, diversity-based sampling, and query-by-committee (QBC), on two public datasets: the Bank Marketing dataset and the European Credit Card Fraud dataset. Four model–preprocessing configurations were tested over 10 independent runs with 11 AL iterations each, and compared to passive learning baselines using paired t-tests, Wilcoxon signed-rank tests, and effect size analysis. The best configuration, a regularized Logistic Regression with standardized features, achieved statistically significant relative gains of + 6.57% in F1-score and + 7.34% in accuracy. On the Credit Card Fraud dataset, the best LightGBM configuration achieved an F1-score of 0.83 compared with 0.39 under passive learning, more than doubling relative performance. Analysis of iteration scheduling revealed that random initialization followed by early uncertainty sampling, mid-course diversity sampling, and a final QBC round produced the most consistent improvements. In addition, we demonstrate a complementary large language model (LLM)-based prompt validation workflow on the NYC Restaurant Inspection dataset, showing that Perplexity Sonar achieved the highest F1-score (97.6%) while OpenAI GPT-4o and Gemini 1.5 Pro offered different trade-offs in cost and speed. © 2013 IEEE.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105019789318"
"Sihi D.; Ryan A.","Sihi, Debika (55599558600); Ryan, Abigail (59495285100)","55599558600; 59495285100","CRAFTING AND EVALUATING GENERATIVE AI PROMPTS: INSIGHTS FROM STUDENTS, EDUCATORS, AND MARKETERS","2025","Marketing Education Review","35","2","","153","159","6","10.1080/10528008.2024.2445816","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213687479&doi=10.1080%2F10528008.2024.2445816&partnerID=40&md5=7af4267fa883fec131c00a066c2efcc3","The rapid adoption and evolution of generative artificial intelligence (AI) tools like ChatGPT and Gemini have impacted marketing education and practice. This paper introduces a prompt engineering assignment that utilizes generative AI to build critical thinking skills through the development of keyword research strategies, customer profiles, and presentation outlines. Using insights from students, educators, and marketers, the assignment is refined to include (a) reflections about the learning and application of the generative AI tools and (b) evaluations about the accuracy and potential for bias in the generated output. The assignment tasks align with marketing practice, and guidance is provided on how to adapt and update the assignment. © 2024 Society for Marketing Advances.","Article","Final","","Scopus","2-s2.0-85213687479"
"Valle G.; Apolloni B.; Epifania F.","Valle, Giorgio (7102644812); Apolloni, Bruno (7004007385); Epifania, Francesco (55303768000)","7102644812; 7004007385; 55303768000","Cloud design for learning and mobility services","2011","Proceedings:  DMS 2011 - 17th International Conference on Distributed Multimedia Systems","","","","181","184","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923870744&partnerID=40&md5=a70b092efccdd114e026e812db694bba","Two Business case studies in University Laboratories on learning and mobility present the opportunity to experiment new multimedia data management, data analysis, distributed collaboration. Software engineering practices based on cloud technology techniques acquire from the Web what is needed for rapid prototyping, capability of satisfying the needs of customers, market validation of pricing policies, marketing strategies.; As an alternative to standard software engineering programming, this approach allows to specify the projects’ concepts by reaching stakeholders of needed ICT components to implement a prototype relying on SW components available elsewhere. Two sample cases clarify this cloud-engineering approach to the development innovation: 1) Program for Recovery Insufficient Grades in High- School (PRISC); 2) Social Mobility (SM) to reduce dependence on owned cars to satisfy mobility needs.; The PRISC strategy is to focus on the learner and on how proficiency is assessed through grades. The action steps: 1) understanding is focused on the students’ study on schoolbooks; 2) assessment is delegated to exercises and tests managed in interactive Web environment on screens of mobile telephones or PCs; 3) students with excellent grades act as tutors by exploiting the social networks.; The SM strategy focuses on exploiting the empty seats available in most cars in metropolitan cities with air pollution problems. Key features: 1) direct negotiation via mobile devices between car drivers and ride seekers; 2) short range contacts insuring prompt satisfaction; 3) GPS ride surveillance. © 2011 by Knowledge Systems Institute Graduate School.","Conference paper","Final","","Scopus","2-s2.0-84923870744"
"Schneider T.; Maximiliano C.; Pedri Pereira L.; Treptow D.; Araújo Alves S.L.","Schneider, Thaissa (60337822800); Maximiliano, Cristiani (59393597300); Pedri Pereira, Laura (60337586200); Treptow, Doris (60337941500); Araújo Alves, Samuel Levi (60337705500)","60337822800; 59393597300; 60337586200; 60337941500; 60337705500","Strategic use of generative AI in fashion collections: from creation to promotion","2026","AI and Society","","","","","","0","10.1007/s00146-025-02781-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027806475&doi=10.1007%2Fs00146-025-02781-1&partnerID=40&md5=4ac6a282d2e4044949d2d2b2014b0553","This study investigates the strategic application of generative artificial intelligence (GenAI) tools in fashion collection development, examining how AI can enhance creative processes while maintaining design authenticity. The research addresses the gap between technical AI capabilities and their practical implementation in fashion design methodologies. Using Treptow’s (Inventando moda: planejamento de colecao, 5th edn. D. Treptow, São Paulo, 2013) four-stage fashion collection development framework (Planning, Design, Development, and Promotion/Commercialization), this experimental study employed structured prompt engineering with Claude 3.5 Sonnet, ChatGPT-4o mini, and DALL·E to simulate luxury beachwear collection development. Multiple AI illustrative personas were created to represent different professional roles, generating outputs for trend research, design alternatives, visual development, prototype approval, and marketing strategies. A qualitative analysis examined the effectiveness and limitations of AI integration across each development phase. Results demonstrate that well-crafted prompts can effectively guide AI tools to produce relevant design concepts, trend analyses, and marketing strategies that align with traditional fashion development processes. However, significant limitations emerged in visual consistency and collection cohesion, particularly in comprehensive design visualization. The study reveals that AI functions most effectively as a creative amplifier rather than a replacement, requiring substantial human oversight for maintaining design integrity and brand authenticity. The findings have implications for fashion education, suggesting the need for AI literacy integration in design curricula. Fashion professionals can leverage structured prompt engineering to accelerate ideation, trend research, and marketing development while maintaining creative control. This research contributes the first systematic framework for applying GenAI across the complete fashion collection development cycle, providing empirical evidence of AI’s capabilities and constraints in creative fashion processes. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2026.","Review","Article in press","","Scopus","2-s2.0-105027806475"
"Demirtas E.E.; Lu Y.; Delarive L.; Ebrahimi T.","Demirtas, Enes Eray (60221740200); Lu, Yuhang (57352219800); Delarive, Leila (60221769000); Ebrahimi, Touradj (35560920500)","60221740200; 57352219800; 60221769000; 35560920500","A generative AI approach to cost-effective advertisement based on synthetic images","2025","Proceedings of SPIE - The International Society for Optical Engineering","13605","","136051C","","","0","10.1117/12.3068096","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023713077&doi=10.1117%2F12.3068096&partnerID=40&md5=fecb9ce89fc4c6b2ca424a90eaddeaee","Advertisement heavily relies on compelling visuals to engage audiences across sectors. Recent advances in AI-driven text-to-image generation, particularly diffusion models like Stable Diffusion, offer novel opportunities for hyper-personalized and context-aware advertising content. However, challenges remain in precise control over image composition, segmentation robustness, and semantic consistency. In this work, we enhance the state-of-the-art Anywhere-Multi-Agent framework by replacing the original RMBG segmentation module with the Segment Anything Model (SAM), integrated via an interactive web interface enabling user-guided mask refinement. We further improve generation fidelity through prompt engineering with language models and explore multiple ControlNet conditioning strategies, including Canny, depth, and their combination modalities. Our experiments demonstrate significant gains in segmentation accuracy, object placement, and background coherence, facilitating flexible and precise image composition suitable for real-world advertising workflows. These modular improvements pave the way for scalable, controllable generative pipelines that better align AI outputs with user intent. © 2025 SPIE. All rights reserved.","Conference paper","Final","","Scopus","2-s2.0-105023713077"
"Carranti F.J.","Carranti, Frederick J. (6507123245)","6507123245","A MANUFACTURING ENTERPRISE FOR UNDERGRADUATES PHASE I REPORT: IMPLEMENTATION","1999","ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)","1999-V","","","7","12","0","10.1115/imece1999-0633","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122657076&doi=10.1115%2Fimece1999-0633&partnerID=40&md5=29ace913cdcf1dac6711258796cdad5f","An undergraduate course in the fundamentals of manufacturing processes has recently been redesigned to include a significant laboratory experience. Part of the motivation for this redesign was as a response to certain competency gaps in graduating engineers as identified by the Society of Manufacturing Engineers and by the industrial partners of the University. The nature of this laboratory experience prompts the students to participate in and manage an actual manufacturing enterprise. Many facets of a real company are explored including design, manufecturing. operations, accounting, purchasing, and marketing. The students are engaged in the design and production of a line of novelty items sold to the greater university community, and, in addition to product design, are also engaged in the design of all tooling and methods required for production. Due to the holistic nature of the experience, student enthusiasm and involvement are very high, and feculty endorsement has resulted in the course being named a required part of the curriculum for all future students in mechanical engineering. This paper describes the initial implementation of this course. © 1999 ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE). All rights reserved.","Conference paper","Final","","Scopus","2-s2.0-85122657076"
"Shannaq B.","Shannaq, Boumedyen (57214330239)","57214330239","Exploring the Use of Dark Patterns in University Websites: Ethical Implications and Impacts on Student Decision-Making","2025","3rd International Conference on Business Analytics for Technology and Security, ICBATS 2025","","","","","","0","10.1109/ICBATS66542.2025.11258113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030543959&doi=10.1109%2FICBATS66542.2025.11258113&partnerID=40&md5=1f4af48424b59364f46e0f29e2e6f099","The presence of dark patterns on university websites in Oman serves as the focus of investigation to study the ethical aspects that affect student choices. The deceptive web design strategies known as dark patterns prompt users to perform unintended actions by utilizing technologies that conceal fees and create a false sense of urgency while misleading users about the support they receive from others. The majority of digital marketing research has failed to examine the role of dark patterns in student trust and university selection processes despite these elements becoming increasingly common in digital marketing. A study employs automated methods that identify and evaluate dark patterns through website automation and keyword extraction and scoring algorithms. The study identifies deceptive techniques used in higher education recruitment that diminish transparency and negatively impact enrollment rates. The study provides direction to universities and web designers about implementing ethical web practices through system tests and awareness programs. The study establishes transparency standards in digital recruitment, which enhances ethical approaches to web design and marketing in the higher education sector. © 2025 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105030543959"
"Kamath C.; Alur S.","Kamath, Charunayan (59259558800); Alur, Sivakumar (57385122100)","59259558800; 57385122100","Ad generation modalities and response to in-app advertising – an experimental study","2024","Global Knowledge, Memory and Communication","","","","","","5","10.1108/GKMC-04-2024-0245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200392604&doi=10.1108%2FGKMC-04-2024-0245&partnerID=40&md5=25e43d8f59b2c7ebfbf4c008b2dca704","Purpose: The widespread use of mobile apps in marketing has resulted in in-app advertising to promote products and services. Research on in-app advertising has focused on several dimensions but not on the modality of ad generation. The use of artificial intelligence (AI) and memes as advertisements has paved the way for multiple ways to create them. This study aims to understand the effect of various advertisement generation modalities on an individual’s trust, attitude toward the advertisement, subjective norms, intentions and use of a particular product. Design/methodology/approach: Using the theoretical lens of reasoned action and trust, the authors explored through an experimental study (five treatments-AI-generated ad and meme, human-created ad and meme and user-generated meme, and (n = 300) the consumer’s intention to purchase a fictitious shampoo brand based on in-app advertising. The respondents were exposed to one of the treatments without knowledge of the ad generation modality. Findings: Trust differed significantly across all the experimental conditions. Furthermore, the authors observe that the theory of reasoned action holds for all advertising generation modalities. Originality/value: The use of AI in advertising is increasing exponentially, and brands are using AI-generated content to engage with their audiences on various platforms. To the best of the authors’ knowledge, this is one of the first studies to attempt to understand the effects of various ad generation modalities on the trust, attitude and behavior of individuals. Furthermore, this study examines both AI and human-created memes and their effects. The authors suggest optimizing the prompt engineering to develop AI-generated images. © 2024, Emerald Publishing Limited.","Article","Article in press","","Scopus","2-s2.0-85200392604"
"Damaševičius R.; Zailskaite-Jakšte L.","Damaševičius, Robertas (6603451290); Zailskaite-Jakšte, Ligita (56481640300)","6603451290; 56481640300","Transforming consumer experience through ChatGPT: Challenges and opportunities","2024","Leveraging ChatGPT and Artificial Intelligence for Effective Customer Engagement","","","","129","155","5","10.4018/979-8-3693-0815-8.ch008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193852572&doi=10.4018%2F979-8-3693-0815-8.ch008&partnerID=40&md5=353ba449fff69567e6d85960d011dfed","This chapter analyzes the transformative potential of ChatGPT, an AI-powered tool, in reshaping consumer experience across various industries. It provides an in-depth exploration of how ChatGPT, through its advanced capabilities in natural language processing and machine learning, can enhance consumer engagement, automate repetitive tasks, and deliver personalized responses to complex queries. The chapter also underscores the strategic role of ChatGPT in digital marketing and consumer support. The chapter analyzes ChatGPT-consumer Interaction (CCI), discussing the importance of CCI design patterns, prompt engineering and usability evaluation in creating effective and engaging consumer interactions, and provides a real-life case study. The chapter further discusses the opportunities that ChatGPT presents for businesses. It highlights how the tool can help organizations gain a competitive edge by providing faster, more accurate consumer service, and by leveraging consumer data to inform decision-making and create targeted marketing campaigns. © 2024, IGI Global. All rights reserved.","Book chapter","Final","","Scopus","2-s2.0-85193852572"
"Cravotta R.","Cravotta, Robert (11839639500)","11839639500","Why tinker: With your øperating system?","2002","EDN","47","14","","45","56","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-26844531306&partnerID=40&md5=45b1fc416275ac7802680f1ac7df98a1","The need for changing the operating system for implementing a project successfully in a market, while minimizing the engineering and bill-of-materials cost, is discussed. By providing a method of managing many concurrent but asynchronous tasks, operating systems complicate software problems. If the operating system does not support the an interposes-communication mechanism,the adoption of multiprocessor or distributed system designs can prompt an evaluation. Using a popular operating system can increase the compatibility with third-party support.","Review","Final","","Scopus","2-s2.0-26844531306"
